Català,cat,ca_ES
Dansk,dan,da_DK
Deutsch,ger,de_DE
ελληνικά,gre,el_GR
ελληνικά,grc,el_GR
ελληνικά,grc-t,el_GR
ελληνικά,gre-t,el_GR
English,eng,en_US
Español ,spa,es_ES
Italiano,ita,it_IT
Nederlands,dut,nl_NL
Українська,ukr-t,uk_UA
Українська,ukr,uk_UA
Čeština,cze,cs_CZ
Hrvatski,hrv,hr_HR
Hrvatski,scr,hr_HR
Język Polski,pol,pl_PL
Português ,por,pt_PT
Русский,rus,ru_RU
Русский,sla-oldrus,ru_RU
Русский,rus-t,ru_RU
Svenska,swe,sv_SE
Slovenčina,slo,sk_SK
Français ,fre,fr_FR
Cрпски,scc,sr_RS
Cрпски,srp,sr_RS
Cрпски,srp-t,sr_RS
Norwegian,nor,nb_NO
